term,raw_count_domain,category,bert_token_count,bert_tokens,llama4_token_count,llama4_tokens,gemma4_token_count,gemma4_tokens,openai_token_count,openai_tokens,mistral_token_count,mistral_tokens
resistance,8,2,1,resistance,2,res | istance,1,resistance,2,res | istance,2,res | istance
transient,3,2,1,transient,2,trans | ient,2,trans | ient,2,trans | ient,2,trans | ient
harnesses,2,2,2,harness | ##es,3,h | arn | esses,3,h | arness | es,3,h | arness | es,3,har | ness | es
harnesss,1,2,2,harness | ##s,3,h | arness | s,3,h | arness | s,3,h | arness | s,3,har | ness | s
pneumatick,1,2,4,p | ##ne | ##umatic | ##k,4,p | ne | umat | ick,3,pneum | at | ick,4,p | ne | umat | ick,4,p | ne | umat | ick
rubbermount,1,2,2,rubber | ##mount,3,rub | ber | mount,2,rubber | mount,3,rub | ber | mount,3,rub | ber | mount
faultcode,1,2,2,fault | ##code,2,fault | code,2,fault | code,2,fault | code,3,f | ault | code
hydralic,1,2,2,hydra | ##lic,3,hyd | ral | ic,3,hyd | ral | ic,3,hyd | ral | ic,3,hyd | ral | ic
sencor,1,2,2,sen | ##cor,3,s | enc | or,3,s | enc | or,3,s | enc | or,3,s | enc | or
mudule,1,2,2,mud | ##ule,2,mud | ule,2,mud | ule,2,mud | ule,2,mud | ule
retorqued,1,2,4,re | ##tor | ##que | ##d,4,ret | or | qu | ed,4,ret | or | qu | ed,4,ret | or | qu | ed,4,ret | or | qu | ed
corrosive,2,2,3,co | ##rro | ##sive,3,cor | ros | ive,3,cor | ros | ive,3,cor | ros | ive,3,cor | ros | ive
degr,1,2,2,de | ##gr,2,de | gr,2,de | gr,2,de | gr,2,de | gr
eccentric,3,2,1,eccentric,2,ecc | entric,2,ecc | entric,2,ecc | entric,3,e | cc | entric
airduct,1,2,3,air | ##du | ##ct,2,air | duct,2,air | duct,2,air | duct,2,air | duct
valv,1,2,2,val | ##v,2,val | v,2,val | v,2,val | v,2,val | v
accoustic,1,2,3,acc | ##ous | ##tic,2,acc | oustic,2,acc | oustic,2,acc | oustic,2,acc | oustic
convexe,1,2,2,convex | ##e,2,convex | e,3,con | ve | xe,2,conv | exe,3,con | ve | xe
rivit,1,2,3,ri | ##vi | ##t,1,rivit,1,rivit,2,r | ivit,2,riv | it
braket,1,2,2,brake | ##t,2,bra | ket,2,brak | et,2,br | aket,3,b | rak | et
harnas,1,2,3,ha | ##rna | ##s,2,h | arnas,2,h | arnas,2,h | arnas,2,h | arnas
casing,2,2,2,cas | ##ing,2,c | asing,2,c | asing,2,c | asing,2,c | asing
cage,3,2,1,cage,2,c | age,1,cage,2,c | age,2,c | age
socket,2,2,1,socket,1,socket,1,socket,1,socket,1,socket
discrepancy,2,2,4,disc | ##re | ##pan | ##cy,4,dis | cre | p | ancy,4,dis | cre | p | ancy,4,dis | cre | p | ancy,4,dis | cre | p | ancy
busching,1,2,2,busch | ##ing,2,bus | ching,2,bus | ching,2,bus | ching,2,bus | ching
fastner,1,2,2,fast | ##ner,2,fast | ner,2,fast | ner,2,fast | ner,2,fast | ner
flang,1,2,2,fl | ##ang,2,fl | ang,2,fl | ang,2,fl | ang,2,fl | ang
centric,2,2,2,cent | ##ric,1,centric,1,centric,1,centric,2,cent | ric
grinding,2,2,1,grinding,2,gr | inding,2,gr | inding,2,gr | inding,2,gr | inding
sleeving,1,2,3,sl | ##ee | ##ving,3,s | lee | ving,2,slee | ving,3,s | lee | ving,3,s | lee | ving
lht,1,2,2,l | ##ht,2,l | ht,2,l | ht,2,l | ht,2,l | ht
locknut,1,2,2,lock | ##nut,2,lock | nut,2,lock | nut,2,lock | nut,2,lock | nut
vulcanizing,1,2,2,vulcan | ##izing,4,v | ul | can | izing,3,vul | can | izing,4,v | ul | can | izing,4,v | ul | can | izing
excentric,1,2,2,ex | ##centric,2,ex | centric,2,ex | centric,2,ex | centric,3,ex | cent | ric
grommet,1,2,3,gr | ##om | ##met,3,g | rom | met,3,g | rom | met,3,g | rom | met,3,g | rom | met
controller,2,2,1,controller,1,controller,1,controller,1,controller,1,controller
displacement,2,2,1,displacement,2,dis | placement,1,displacement,2,dis | placement,2,dis | placement
pervious,1,2,2,per | ##vious,2,per | vious,2,per | vious,2,per | vious,2,per | vious
motor,3,2,1,motor,1,motor,1,motor,1,motor,1,motor
elec,1,2,2,el | ##ec,2,ele | c,2,ele | c,2,ele | c,2,ele | c
lateral,2,2,1,lateral,2,l | ateral,1,lateral,2,l | ateral,2,l | ateral
discolouration,1,2,3,disco | ##lou | ##ration,3,dis | colour | ation,3,dis | colour | ation,3,dis | colour | ation,4,dis | col | our | ation
chafed,1,2,2,cha | ##fed,3,ch | af | ed,3,ch | af | ed,3,ch | af | ed,3,ch | af | ed
pack,2,2,1,pack,1,pack,1,pack,1,pack,1,pack
insolation,1,2,3,ins | ##ola | ##tion,2,ins | olation,2,ins | olation,2,ins | olation,2,ins | olation
crimp,1,2,3,cr | ##im | ##p,2,cr | imp,2,c | rimp,2,cr | imp,3,c | rim | p
solder,1,2,2,sold | ##er,2,s | older,2,s | older,2,s | older,2,s | older
bootstrap,1,2,3,boots | ##tra | ##p,1,bootstrap,1,bootstrap,1,bootstrap,1,bootstrap
bellow,1,2,2,bell | ##ow,2,b | ellow,2,b | ellow,2,b | ellow,2,b | ellow
centerline,1,2,2,center | ##line,2,center | line,2,center | line,2,center | line,2,center | line
choking,1,2,1,choking,2,ch | oking,2,ch | oking,2,ch | oking,2,ch | oking
hoist,1,2,2,ho | ##ist,2,ho | ist,2,ho | ist,2,ho | ist,2,ho | ist
plating,1,2,2,pl | ##ating,2,pl | ating,1,plating,2,pl | ating,2,pl | ating
hinge,1,2,2,hi | ##nge,2,hing | e,2,hing | e,2,hing | e,2,hing | e
millimeter,1,2,2,mill | ##imeter,2,mill | imeter,2,mill | imeter,2,mill | imeter,2,mill | imeter
crank,1,2,1,crank,2,cr | ank,2,cr | ank,2,cr | ank,2,c | rank
quadrant,1,2,1,quadrant,2,quadr | ant,2,quad | rant,2,quadr | ant,2,quad | rant
rupture,1,2,3,ru | ##pt | ##ure,2,rupt | ure,2,rupt | ure,2,rupt | ure,2,rupt | ure
bypassing,1,2,2,bypass | ##ing,3,b | yp | assing,3,b | yp | assing,3,b | yp | assing,3,b | yp | assing
mesh,1,2,1,mesh,1,mesh,1,mesh,1,mesh,1,mesh
shutdown,1,2,2,shut | ##down,1,shutdown,1,shutdown,1,shutdown,2,sh | utdown
mating,1,2,1,mating,2,m | ating,2,m | ating,2,m | ating,2,m | ating
alt,1,2,1,alt,1,alt,1,alt,1,alt,1,alt
processor,1,2,1,processor,1,processor,1,processor,1,processor,1,processor
silicon,1,2,1,silicon,2,sil | icon,2,sil | icon,2,sil | icon,2,sil | icon
cooling,1,2,1,cooling,2,cool | ing,1,cooling,2,cool | ing,2,cool | ing
crossover,1,2,1,crossover,2,c | rossover,2,c | rossover,2,c | rossover,2,c | rossover
downstream,1,2,1,downstream,2,down | stream,2,down | stream,2,down | stream,2,down | stream
geometry,1,2,1,geometry,1,geometry,1,geometry,1,geometry,1,geometry
integrity,1,2,1,integrity,2,integr | ity,1,integrity,2,integr | ity,1,integrity
interface,1,2,1,interface,1,interface,1,interface,1,interface,1,interface
arc,1,2,1,arc,1,arc,1,arc,1,arc,1,arc
frequency,1,2,1,frequency,1,frequency,1,frequency,1,frequency,1,frequency
bush,1,2,1,bush,1,bush,1,bush,2,b | ush,2,b | ush
disc,1,2,1,disc,1,disc,1,disc,1,disc,1,disc
junction,1,2,1,junction,1,junction,1,junction,1,junction,2,j | unction
parallel,1,2,1,parallel,1,parallel,1,parallel,1,parallel,1,parallel
bus,1,2,1,bus,1,bus,1,bus,1,bus,1,bus
engineer,1,2,1,engineer,2,engine | er,1,engineer,2,engine | er,2,engine | er
race,1,2,1,race,1,race,1,race,1,race,1,race
bushing,309,2,2,bush | ##ing,2,b | ushing,2,b | ushing,2,b | ushing,2,b | ushing
dampner,35,2,2,damp | ##ner,3,d | amp | ner,3,d | amp | ner,3,d | amp | ner,3,d | amp | ner
sump,240,2,2,sum | ##p,2,s | ump,2,sum | p,2,s | ump,2,sum | p
gearbox,777,2,1,gearbox,2,gear | box,2,gear | box,2,gear | box,2,ge | arbox
teflon,149,2,3,te | ##fl | ##on,2,te | flon,3,te | fl | on,3,te | fl | on,3,te | fl | on
unbonding,16,2,3,un | ##bon | ##ding,3,un | bond | ing,2,un | bonding,3,un | bond | ing,3,un | bond | ing
harness,322,2,1,harness,2,h | arness,2,h | arness,2,h | arness,2,har | ness
sheath,131,2,1,sheath,2,she | ath,2,she | ath,2,she | ath,2,she | ath
hydraulic,309,2,1,hydraulic,2,hyd | raulic,1,hydraulic,2,hyd | raulic,3,hyd | raul | ic
sensor,158,2,1,sensor,1,sensor,1,sensor,1,sensor,1,sensor
fillercap,5,2,3,fill | ##er | ##cap,3,fill | erc | ap,3,fill | erc | ap,3,fill | erc | ap,3,fill | erc | ap
bearing,510,2,1,bearing,2,b | earing,1,bearing,1,bearing,2,b | earing
sleeve,67,2,1,sleeve,3,s | lee | ve,2,s | leeve,3,s | lee | ve,3,s | le | eve
thermal,96,2,1,thermal,1,thermal,1,thermal,1,thermal,1,thermal
liner,85,2,1,liner,1,liner,1,liner,1,liner,1,liner
dilution,10,2,2,dil | ##ution,2,dil | ution,2,dil | ution,3,d | il | ution,2,dil | ution
receptacle,7,2,3,rec | ##ept | ##acle,3,re | cept | acle,3,re | cept | acle,3,re | cept | acle,3,re | cept | acle
hanness,2,2,2,han | ##ness,2,h | anness,2,hann | ess,2,hann | ess,3,h | ann | ess
connectors,8,2,2,connector | ##s,2,connect | ors,2,connect | ors,2,connect | ors,2,connect | ors
conduit,9,2,3,con | ##du | ##it,2,con | duit,2,con | duit,2,con | duit,2,con | duit
clerance,2,2,3,cl | ##eran | ##ce,2,cler | ance,2,cler | ance,2,cler | ance,2,cler | ance
insitu,3,2,3,ins | ##it | ##u,2,ins | itu,2,ins | itu,2,ins | itu,2,ins | itu
vent,10,2,1,vent,1,vent,1,vent,1,vent,1,vent
wetting,4,2,2,wet | ##ting,2,wet | ting,2,wet | ting,2,wet | ting,2,w | etting
titanium,5,2,1,titanium,3,t | itan | ium,2,titan | ium,3,t | itan | ium,3,t | itan | ium
weld,4,2,2,we | ##ld,2,w | eld,2,w | eld,2,w | eld,2,w | eld
allowable,3,2,2,allow | ##able,2,allow | able,2,allow | able,2,allow | able,2,allow | able
dispensation,3,2,4,di | ##sp | ##ens | ##ation,2,disp | ensation,2,disp | ensation,2,disp | ensation,3,d | ispens | ation
shielding,3,2,1,shielding,2,shield | ing,2,shield | ing,2,shield | ing,2,shield | ing
grooving,2,2,3,gr | ##oo | ##ving,2,gro | oving,2,gro | oving,2,gro | oving,2,gro | oving
bushinhs,1,2,3,bush | ##in | ##hs,3,bush | inh | s,3,bush | inh | s,4,b | ush | in | hs,4,b | ush | inh | s
excenticity,1,2,4,ex | ##cent | ##ici | ##ty,3,ex | cent | icity,3,ex | cent | icity,3,ex | cent | icity,3,ex | cent | icity
centervent,1,2,2,center | ##vent,2,center | vent,3,cent | erv | ent,3,cent | erv | ent,3,cent | erv | ent
manifol,1,2,3,mani | ##fo | ##l,3,man | if | ol,3,man | if | ol,3,man | if | ol,3,man | if | ol
dampners,1,2,2,damp | ##ners,3,d | amp | ners,3,d | amp | ners,3,d | amp | ners,3,d | amp | ners
summp,1,2,2,sum | ##mp,2,sum | mp,2,sum | mp,2,summ | p,2,sum | mp
chafedarea,1,2,4,cha | ##fed | ##are | ##a,4,ch | af | ed | area,4,ch | af | ed | area,4,ch | af | ed | area,4,ch | af | ed | area
filterhousing,1,2,3,filter | ##ho | ##using,2,filter | housing,2,filter | housing,2,filter | housing,3,filter | h | ousing
hysdraulic,1,2,5,h | ##ys | ##dra | ##uli | ##c,4,h | ys | d | raulic,4,h | ys | d | raulic,4,h | ys | d | raulic,5,h | ys | d | raul | ic
nozlle,1,2,3,no | ##z | ##lle,2,noz | lle,2,noz | lle,3,no | z | lle,3,no | z | lle
returnline,1,2,2,return | ##line,2,return | line,2,return | line,2,return | line,2,return | line
alignment,4,2,1,alignment,1,alignment,1,alignment,1,alignment,1,alignment
harmess,1,2,2,harm | ##ess,3,h | arm | ess,2,harm | ess,2,harm | ess,2,harm | ess
vibration,2,2,1,vibration,2,v | ibration,2,v | ibration,2,v | ibration,2,v | ibration
misfire,1,2,2,mis | ##fire,3,m | isf | ire,3,m | isf | ire,2,mis | fire,3,m | isf | ire
splice,1,2,2,sp | ##lice,2,s | plice,1,splice,1,splice,2,s | plice
ignition,699,2,1,ignition,2,ign | ition,1,ignition,2,ign | ition,2,ign | ition
dillution,11,2,3,dil | ##lu | ##tion,3,d | ill | ution,3,d | ill | ution,3,d | ill | ution,3,d | ill | ution
damper,134,2,2,damp | ##er,2,dam | per,2,dam | per,2,dam | per,2,dam | per
module,466,2,1,module,1,module,1,module,1,module,1,module
eccentricity,139,2,2,eccentric | ##ity,3,ecc | entric | ity,3,ecc | entric | ity,3,ecc | entric | ity,4,e | cc | entric | ity
filtercap,6,2,2,filter | ##cap,2,filter | cap,2,filter | cap,2,filter | cap,2,filter | cap
concave,90,2,2,con | ##cave,2,conc | ave,2,conc | ave,2,conc | ave,2,conc | ave
exhaust,116,2,1,exhaust,2,ex | haust,1,exhaust,2,ex | haust,2,ex | haust
detector,73,2,1,detector,2,det | ector,1,detector,2,det | ector,2,det | ector
pressure,1264,2,1,pressure,1,pressure,1,pressure,1,pressure,1,pressure
engine,1098,2,1,engine,1,engine,1,engine,1,engine,1,engine
sulfuric,25,2,2,sulfur | ##ic,3,sul | fur | ic,2,sulf | uric,4,s | ul | fur | ic,3,s | ulf | uric
electrical,253,2,1,electrical,2,elect | rical,1,electrical,2,elect | rical,2,elect | rical
situ,34,2,1,situ,1,situ,1,situ,1,situ,2,s | itu
particle,50,2,1,particle,1,particle,1,particle,1,particle,2,part | icle
tipside,3,2,2,tips | ##ide,2,tips | ide,2,tip | side,2,tips | ide,2,tip | side
igniton,3,2,3,ign | ##ito | ##n,2,ign | iton,2,ign | iton,2,ign | iton,2,ign | iton
splitter,11,2,2,split | ##ter,2,split | ter,1,splitter,2,split | ter,2,split | ter
spacer,9,2,2,space | ##r,2,sp | acer,1,spacer,2,sp | acer,2,sp | acer
adapter,14,2,2,adapt | ##er,1,adapter,1,adapter,1,adapter,1,adapter
probe,24,2,1,probe,1,probe,1,probe,1,probe,1,probe
sheeth,3,2,2,sheet | ##h,2,she | eth,2,she | eth,2,she | eth,2,she | eth
conector,3,2,2,cone | ##ctor,2,con | ector,2,con | ector,2,con | ector,2,con | ector
acoustical,8,2,2,acoustic | ##al,3,ac | oust | ical,3,ac | oust | ical,3,ac | oust | ical,3,ac | oust | ical
fuelfilter,2,2,3,fuel | ##fi | ##lter,3,fu | elf | ilter,4,fu | elf | il | ter,3,fu | elf | ilter,3,fu | elf | ilter
recepticle,2,2,3,rec | ##ept | ##icle,3,re | cept | icle,3,re | cept | icle,3,re | cept | icle,3,re | cept | icle
retificatie,2,2,5,re | ##ti | ##fi | ##cat | ##ie,3,ret | ific | atie,3,ret | ific | atie,3,ret | ific | atie,2,ret | ificatie
carbon,32,2,1,carbon,1,carbon,1,carbon,1,carbon,1,carbon
axis,25,2,1,axis,1,axis,1,axis,1,axis,1,axis
ceramic,12,2,1,ceramic,2,cer | amic,1,ceramic,2,cer | amic,2,cer | amic
oxydation,2,2,3,ox | ##yd | ##ation,3,ox | yd | ation,2,oxyd | ation,3,ox | yd | ation,3,ox | yd | ation
lube,4,2,2,lu | ##be,2,l | ube,2,l | ube,2,l | ube,2,l | ube
jumper,9,2,1,jumper,2,j | umper,2,j | umper,2,jum | per,2,jum | per
cranking,3,2,2,crank | ##ing,2,cr | anking,2,cr | anking,2,cr | anking,3,c | rank | ing
electr,2,2,2,elect | ##r,2,elect | r,2,elect | r,2,elect | r,2,elect | r
chamber,24,2,1,chamber,2,ch | amber,1,chamber,2,ch | amber,2,ch | amber
spherical,7,2,1,spherical,2,s | pherical,2,sph | erical,2,s | pherical,3,s | ph | erical
mounts,5,2,1,mounts,2,mount | s,2,mount | s,2,mount | s,2,mount | s
diameter,10,2,1,diameter,1,diameter,1,diameter,2,diam | eter,2,d | iameter
hydro,4,2,1,hydro,1,hydro,1,hydro,2,hyd | ro,1,hydro
lockhole,1,2,2,lock | ##hole,2,lock | hole,2,lock | hole,2,lock | hole,2,lock | hole
bolthol,1,2,2,bolt | ##hol,3,bol | th | ol,2,bol | thol,2,bol | thol,3,bol | th | ol
sulfiric,1,2,3,sul | ##fi | ##ric,4,s | ulf | ir | ic,3,sulf | ir | ic,4,s | ulf | ir | ic,4,s | ulf | ir | ic
igniyion,1,2,3,ign | ##iy | ##ion,3,ign | iy | ion,3,ign | iy | ion,3,ign | iy | ion,3,ign | iy | ion
errossion,1,2,3,er | ##ross | ##ion,3,er | ross | ion,3,er | ross | ion,3,er | ross | ion,3,er | ross | ion
partnummer,1,2,3,part | ##num | ##mer,2,part | nummer,2,part | nummer,2,part | nummer,2,part | nummer
insultation,1,2,2,insult | ##ation,3,ins | ult | ation,3,ins | ult | ation,3,ins | ult | ation,3,ins | ult | ation
wearspot,1,2,2,wears | ##pot,2,wear | spot,2,wear | spot,2,wear | spot,2,wear | spot
oilsupply,1,2,3,oils | ##up | ##ply,4,o | ils | up | ply,2,oil | supply,3,o | ils | upply,3,o | ils | upply
oiltube,1,2,3,oil | ##tub | ##e,3,o | ilt | ube,3,o | ilt | ube,3,o | ilt | ube,3,o | ilt | ube
torqe,1,2,3,tor | ##q | ##e,2,tor | qe,2,tor | qe,2,tor | qe,3,tor | q | e
bconnector,1,2,3,bc | ##onne | ##ctor,2,b | connector,2,b | connector,2,b | connector,3,b | con | nector
connectorrubber,1,2,3,connector | ##ru | ##bber,3,connector | rub | ber,2,connector | rubber,3,connector | rub | ber,4,con | nector | rub | ber
inspecttion,1,2,2,inspect | ##tion,2,inspect | tion,2,inspect | tion,2,inspect | tion,3,ins | pect | tion
harnees,1,2,3,ha | ##rne | ##es,3,har | ne | es,3,har | ne | es,2,har | nees,3,har | ne | es
ancornut,1,2,3,an | ##cor | ##nut,3,anc | orn | ut,3,anc | orn | ut,3,anc | orn | ut,3,anc | orn | ut
tubecavity,1,2,3,tube | ##ca | ##vity,3,tub | ec | avity,3,tub | ec | avity,4,t | ub | ec | avity,5,t | ub | ec | av | ity
geerodeerde,1,2,4,gee | ##rod | ##eer | ##de,4,ge | er | ode | erde,3,ge | erode | erde,4,ge | er | ode | erde,4,ge | er | ode | erde
connecotrs,1,2,4,con | ##ne | ##cot | ##rs,4,con | ne | cot | rs,4,con | ne | cot | rs,4,con | ne | cot | rs,4,con | ne | cot | rs
indiameter,1,2,2,india | ##meter,2,indi | ameter,3,ind | iam | eter,2,ind | iameter,2,ind | iameter
shutof,1,2,2,shut | ##of,3,sh | ut | of,2,shut | of,3,sh | ut | of,3,sh | ut | of
rbberdamper,1,2,4,rb | ##ber | ##dam | ##per,4,rb | ber | dam | per,4,rb | ber | dam | per,4,rb | ber | dam | per,4,rb | ber | dam | per
clambs,1,2,3,cl | ##am | ##bs,3,cl | amb | s,3,cl | amb | s,3,cl | amb | s,3,cl | amb | s
excentry,1,2,3,ex | ##cent | ##ry,3,ex | cent | ry,3,ex | cent | ry,3,ex | cent | ry,3,ex | cent | ry
discharge,4,2,1,discharge,2,dis | charge,1,discharge,2,dis | charge,2,d | ischarge
convave,1,2,3,con | ##va | ##ve,2,conv | ave,2,conv | ave,2,conv | ave,2,conv | ave
valave,1,2,2,val | ##ave,2,val | ave,2,val | ave,2,val | ave,2,val | ave
spring,12,2,1,spring,1,spring,1,spring,1,spring,1,spring
bracked,1,2,2,bra | ##cked,2,b | racked,2,br | acked,2,br | acked,2,brack | ed
valce,1,2,2,val | ##ce,2,val | ce,2,val | ce,2,val | ce,2,val | ce
srew,1,2,2,sr | ##ew,2,s | rew,2,s | rew,2,s | rew,2,s | rew
gear,4,2,1,gear,1,gear,1,gear,1,gear,2,ge | ar
engineering,8,2,1,engineering,1,engineering,1,engineering,1,engineering,2,engine | ering
coil,2,2,1,coil,1,coil,1,coil,1,coil,2,co | il
labyrint,1,2,3,lab | ##yr | ##int,3,lab | yr | int,3,l | aby | rint,3,lab | yr | int,3,lab | yr | int
troubleshoot,1,2,2,troubles | ##hoot,3,tro | ubles | hoot,3,trou | bles | hoot,3,tr | oubles | hoot,3,tro | ubles | hoot
layard,1,2,2,lay | ##ard,2,lay | ard,2,lay | ard,2,lay | ard,2,lay | ard
weft,1,2,2,we | ##ft,2,we | ft,2,we | ft,2,we | ft,2,we | ft
land,5,2,1,land,1,land,1,land,1,land,1,land
overload,1,2,2,over | ##load,2,over | load,2,over | load,2,over | load,2,over | load
circumference,1,2,4,ci | ##rc | ##um | ##ference,3,circ | um | ference,2,circum | ference,3,circ | um | ference,3,circ | um | ference
pedestal,1,2,1,pedestal,2,ped | estal,2,ped | estal,2,ped | estal,2,ped | estal
breakaway,1,2,1,breakaway,2,break | away,2,break | away,2,break | away,3,bre | aka | way
tow,1,2,1,tow,1,tow,1,tow,1,tow,2,t | ow
collar,1,2,1,collar,2,c | ollar,1,collar,2,coll | ar,2,c | ollar
pipe,1,2,1,pipe,1,pipe,1,pipe,1,pipe,1,pipe
hybrid,1,2,1,hybrid,1,hybrid,1,hybrid,2,hy | brid,2,hy | brid
shock,1,2,1,shock,1,shock,1,shock,1,shock,2,sh | ock
joint,1,2,1,joint,1,joint,1,joint,1,joint,1,joint
dampener,142,3,2,damp | ##ener,3,d | amp | ener,3,d | amp | ener,3,d | amp | ener,3,d | amp | ener
popout,14,3,2,pop | ##out,2,pop | out,2,pop | out,2,pop | out,2,pop | out
wiring,36,3,1,wiring,2,w | iring,1,wiring,2,w | iring,2,w | iring
thread,68,3,1,thread,1,thread,1,thread,1,thread,1,thread
lanyard,10,3,2,lan | ##yard,3,l | any | ard,2,l | anyard,2,lany | ard,3,l | any | ard
carryover,2,3,2,carry | ##over,2,carry | over,2,carry | over,2,carry | over,3,car | ry | over
configuration,6,3,1,configuration,1,configuration,1,configuration,1,configuration,1,configuration
scouring,1,3,2,sc | ##ouring,3,sc | our | ing,2,sc | ouring,2,sc | ouring,3,sc | our | ing
porous,1,3,2,por | ##ous,2,por | ous,2,por | ous,2,por | ous,2,por | ous
unbonded,175,3,3,un | ##bon | ##ded,3,un | bond | ed,2,un | bonded,3,un | bond | ed,3,un | bond | ed
tipcorner,19,3,3,tip | ##cor | ##ner,2,tip | corner,2,tip | corner,2,tip | corner,3,tip | cor | ner
duct,329,3,1,duct,1,duct,1,duct,1,duct,1,duct
contaiment,13,3,3,con | ##tai | ##ment,3,cont | a | iment,2,conta | iment,3,cont | a | iment,3,con | ta | iment
chafing,62,3,3,cha | ##fin | ##g,3,ch | af | ing,3,ch | af | ing,3,ch | af | ing,3,ch | af | ing
bolt,360,3,1,bolt,1,bolt,1,bolt,1,bolt,1,bolt
cone,388,3,1,cone,1,cone,1,cone,1,cone,1,cone
containment,123,3,1,containment,2,cont | ainment,2,contain | ment,2,contain | ment,2,cont | ainment
serviceable,64,3,2,service | ##able,2,service | able,2,service | able,2,service | able,2,service | able
washer,45,3,2,wash | ##er,1,washer,1,washer,1,washer,2,was | her
generator,187,3,1,generator,1,generator,1,generator,1,generator,1,generator
insulation,75,3,1,insulation,2,ins | ulation,2,ins | ulation,2,ins | ulation,2,ins | ulation
notch,87,3,1,notch,2,not | ch,1,notch,2,not | ch,2,not | ch
cocking,23,3,2,cock | ##ing,2,cock | ing,2,cock | ing,2,cock | ing,2,cock | ing
indicator,97,3,1,indicator,1,indicator,1,indicator,1,indicator,2,ind | icator
bracket,137,3,1,bracket,2,b | racket,1,bracket,2,br | acket,2,brack | et
fault,131,3,1,fault,1,fault,1,fault,1,fault,2,f | ault
shield,214,3,1,shield,1,shield,1,shield,1,shield,1,shield
nick,341,3,1,nick,1,nick,1,nick,1,nick,1,nick
finding,417,3,1,finding,1,finding,1,finding,1,finding,2,f | inding
wire,122,3,1,wire,1,wire,1,wire,1,wire,1,wire
defect,40,3,1,defect,2,def | ect,1,defect,2,def | ect,2,def | ect
braid,18,3,1,braid,2,bra | id,2,bra | id,2,bra | id,2,bra | id
blend,55,3,1,blend,1,blend,1,blend,1,blend,2,bl | end
stage,950,3,1,stage,1,stage,1,stage,1,stage,1,stage
core,152,3,1,core,1,core,1,core,1,core,1,core
tail,65,3,1,tail,1,tail,1,tail,1,tail,1,tail
fluorescent,13,3,1,fluorescent,3,flu | ores | cent,2,flu | orescent,3,flu | ores | cent,2,flu | orescent
shutoff,5,3,2,shut | ##off,3,sh | ut | off,2,shut | off,3,sh | ut | off,3,sh | ut | off
debris,22,3,1,debris,2,de | bris,1,debris,2,de | bris,2,de | bris
ingnition,2,3,3,ing | ##ni | ##tion,2,ing | nition,3,ing | n | ition,3,ing | n | ition,3,ing | n | ition
dome,25,3,1,dome,2,d | ome,1,dome,2,d | ome,2,d | ome
terminal,40,3,1,terminal,1,terminal,1,terminal,1,terminal,1,terminal
unison,9,3,1,unison,2,un | ison,2,un | ison,2,un | ison,2,un | ison
root,29,3,1,root,1,root,1,root,1,root,1,root
frame,43,3,1,frame,1,frame,1,frame,1,frame,1,frame
checklist,11,3,2,check | ##list,2,check | list,1,checklist,2,check | list,2,check | list
tension,21,3,1,tension,2,t | ension,1,tension,2,t | ension,2,t | ension
preservation,25,3,1,preservation,2,pres | ervation,2,pres | ervation,2,pres | ervation,2,pres | ervation
rod,17,3,1,rod,1,rod,1,rod,1,rod,1,rod
component,24,3,1,component,1,component,1,component,1,component,1,component
acoustic,20,3,1,acoustic,1,acoustic,1,acoustic,2,ac | oustic,2,ac | oustic
eroded,7,3,1,eroded,2,er | oded,2,er | oded,2,er | oded,2,er | oded
blanket,6,3,1,blanket,2,blank | et,2,blank | et,2,blank | et,2,blank | et
authority,37,3,1,authority,1,authority,1,authority,1,authority,2,author | ity
disk,8,3,1,disk,1,disk,1,disk,1,disk,1,disk
inspect,5,3,1,inspect,1,inspect,1,inspect,1,inspect,2,ins | pect
bypassed,5,3,1,bypassed,3,b | ypass | ed,3,b | yp | assed,3,b | yp | assed,3,b | yp | assed
protrusion,3,3,3,pro | ##tr | ##usion,3,pro | tr | usion,3,pro | tr | usion,3,pro | tr | usion,3,pro | tr | usion
quad,5,3,1,quad,1,quad,1,quad,1,quad,1,quad
booth,6,3,1,booth,2,bo | oth,2,bo | oth,2,bo | oth,2,bo | oth
locking,4,3,1,locking,2,lock | ing,1,locking,1,locking,2,lock | ing
plugs,3,3,2,plug | ##s,2,pl | ugs,2,pl | ugs,2,pl | ugs,2,plug | s
port,16,3,1,port,1,port,1,port,1,port,1,port
barrel,5,3,1,barrel,2,bar | rel,1,barrel,2,bar | rel,2,bar | rel
failure,11,3,1,failure,1,failure,1,failure,1,failure,1,failure
ground,21,3,1,ground,1,ground,1,ground,1,ground,1,ground
structural,6,3,1,structural,1,structural,1,structural,2,struct | ural,2,struct | ural
leakge,1,3,2,leak | ##ge,3,le | ak | ge,2,leak | ge,3,le | ak | ge,3,le | ak | ge
hoseclamp,1,3,3,hose | ##cl | ##amp,4,h | ose | cl | amp,2,hose | clamp,3,hose | cl | amp,4,h | ose | cl | amp
oilcover,1,3,3,oil | ##co | ##ver,2,oil | cover,2,oil | cover,2,oil | cover,3,o | il | cover
surfaceprotection,1,3,4,surface | ##pro | ##tec | ##tion,2,surface | protection,2,surface | protection,3,surface | pro | tection,3,surface | prote | ction
lekkage,1,3,3,le | ##kka | ##ge,3,le | kk | age,3,le | kk | age,3,le | kk | age,3,le | kk | age
